Time,MAPE,MAE,MSE,RMSLE,Training_time
00:30:00,91.476895,0.043872,0.002491,0.049912,0:01:57.957299
05:00:00,82.202366,0.044642,0.002463,0.049632,0:02:28.984343
05:30:00,85.824939,0.053042,0.009930,0.099650,0:01:59.780084
06:00:00,102.737774,0.056185,0.006634,0.081451,0:02:29.171548
06:30:00,169.801608,0.119579,0.042231,0.205502,0:02:12.305627
07:00:00,202.647101,0.349426,0.206378,0.454288,0:03:27.734349
07:30:00,104.131585,0.086681,0.030913,0.175822,0:01:34.890087
08:00:00,inf,0.258441,0.137884,0.371328,0:05:05.134333
08:30:00,171.126384,0.289527,0.214175,0.462791,0:09:11.536726
09:00:00,87.799937,0.160798,0.105238,0.324404,0:05:45.825032
09:30:00,535.622489,0.554069,0.677864,0.823325,0:09:16.942163
01:00:00,76.160186,0.042585,0.002093,0.045754,0:02:23.629685
10:00:00,495.036481,0.428232,0.426094,0.652759,0:11:43.238363
10:30:00,232.528504,0.236632,0.135237,0.367746,0:07:39.930924
11:00:00,341.747130,0.354587,0.349901,0.591525,0:06:16.216647
11:30:00,427.790378,0.478388,0.446159,0.667951,0:04:40.727082
12:00:00,501.413459,0.818519,1.134749,1.065246,0:08:42.050241
12:30:00,331.789118,0.528360,0.566293,0.752525,0:06:26.722382
13:00:00,457.369751,0.465494,0.415492,0.644587,0:09:20.192166
13:30:00,713.988879,0.485009,0.382096,0.618139,0:10:54.076413
14:00:00,537.336389,0.385812,0.252689,0.502682,0:07:21.033225
14:30:00,655.610800,0.488918,0.459460,0.677835,0:07:13.042287
01:30:00,65.280671,0.041108,0.002183,0.046724,0:02:41.229012
15:00:00,324.814558,0.400515,0.317160,0.563170,0:01:48.953303
15:30:00,338.053297,0.567683,0.633087,0.795668,0:01:34.109020
16:00:00,344.682887,0.599324,0.655872,0.809859,0:08:40.700061
16:30:00,445.598615,0.537343,0.511477,0.715176,0:12:23.485667
17:00:00,413.244118,0.610102,0.579287,0.761109,0:02:57.982909
17:30:00,163.311802,0.417150,0.301643,0.549221,0:02:17.007775
18:00:00,261.349234,0.519791,0.412054,0.641914,0:07:28.931634
18:30:00,245.285412,0.442043,0.338462,0.581775,0:10:12.313782
19:00:00,274.066038,0.746933,0.791782,0.889821,0:08:54.225304
19:30:00,324.404869,0.834135,1.118348,1.057520,0:06:11.293980
02:00:00,65.112484,0.042584,0.002345,0.048428,0:02:20.690081
20:00:00,245.206809,0.776343,0.935238,0.967077,0:06:20.953555
20:30:00,126.682585,0.701058,0.756206,0.869601,0:04:08.498565
21:00:00,176.164464,0.735732,0.852125,0.923106,0:03:58.118474
21:30:00,297.088662,0.804442,1.007973,1.003979,0:01:42.828763
22:00:00,203.272734,0.479032,0.396612,0.629772,0:08:13.326030
22:30:00,87.181054,0.196698,0.120289,0.346827,0:04:14.611634
23:00:00,229.721875,0.225915,0.062572,0.250145,0:01:38.993689
23:30:00,233.649634,0.145435,0.026851,0.163864,0:07:03.779834
24:00:00,178.546423,0.098174,0.013119,0.114539,0:05:13.648227
02:30:00,77.077944,0.042416,0.002125,0.046094,0:02:41.054186
03:00:00,84.014628,0.044153,0.002194,0.046838,0:03:32.009550
03:30:00,60.612649,0.039614,0.002040,0.045171,0:01:40.291939
04:00:00,64.990075,0.040434,0.001988,0.044592,0:01:45.039811
04:30:00,68.698093,0.040345,0.002146,0.046327,0:02:20.529537
