Time,MAPE,MAE,MSE,RMSLE,Training_time
00:30:00,112.331273,0.208167,0.176281,0.419858,0:00:53.572233
05:00:00,97.365278,0.187025,0.147805,0.384454,0:01:00.184870
05:30:00,88.746002,0.172785,0.135838,0.368561,0:00:57.264162
06:00:00,67.905189,0.193625,0.169049,0.411155,0:01:02.185175
06:30:00,100.472911,0.194416,0.152471,0.390475,0:00:55.429844
07:00:00,89.467942,0.350429,0.261993,0.511853,0:00:38.545406
07:30:00,76.351548,0.202204,0.156593,0.395718,0:00:41.822418
08:00:00,182.103364,0.381071,0.385574,0.620946,0:00:41.636253
08:30:00,165.271470,0.383110,0.484978,0.696404,0:00:36.867230
09:00:00,116.066911,0.419854,0.595679,0.771802,0:00:36.155131
09:30:00,382.312599,1.081591,3.404922,1.845243,0:00:48.239013
01:00:00,85.392659,0.216571,0.239985,0.489882,0:00:54.534177
10:00:00,346.141744,0.689759,0.927645,0.963143,0:00:38.986755
10:30:00,507.561860,0.816576,1.735053,1.317214,0:00:34.862303
11:00:00,379.348873,0.852078,1.487012,1.219431,0:00:53.169025
11:30:00,304.689436,0.954046,2.060196,1.435338,0:00:34.361918
12:00:00,618.397955,1.038242,1.894349,1.376354,0:00:46.141808
12:30:00,578.390746,1.402987,4.779180,2.186134,0:00:36.794857
13:00:00,562.375951,1.390480,5.013778,2.239147,0:00:37.696586
13:30:00,433.430877,1.417629,6.689501,2.586407,0:00:41.527770
14:00:00,382.398365,0.838942,2.263583,1.504521,0:00:42.401183
14:30:00,664.571363,0.709047,0.949386,0.974364,0:00:49.717955
01:30:00,80.728073,0.184356,0.153977,0.392399,0:00:49.489591
15:00:00,506.511447,0.586724,0.773273,0.879359,0:00:38.626184
15:30:00,366.499971,0.563483,0.569361,0.754560,0:00:40.210163
16:00:00,285.667102,0.536062,0.567504,0.753329,0:00:46.143815
16:30:00,329.769053,0.672012,0.806791,0.898215,0:00:38.933023
17:00:00,312.461442,0.727213,0.958810,0.979188,0:00:51.263864
17:30:00,140.796368,0.474917,0.394631,0.628197,0:00:43.216647
18:00:00,233.287847,0.864789,1.374606,1.172436,0:00:46.059067
18:30:00,199.166105,0.991618,1.804939,1.343480,0:00:49.106500
19:00:00,194.036904,1.588138,6.214887,2.492968,0:00:45.423260
19:30:00,148.939351,1.445773,4.121001,2.030025,0:00:42.424783
02:00:00,61.393844,0.199098,0.178597,0.422607,0:00:59.558921
20:00:00,233.635766,1.443268,3.751366,1.936844,0:00:45.407948
20:30:00,178.139027,1.229637,2.587939,1.608707,0:00:51.357739
21:00:00,201.644592,0.915420,1.957448,1.399088,0:00:43.158976
21:30:00,186.044674,0.614654,0.871835,0.933721,0:01:05.380308
22:00:00,99.966276,0.381004,0.306372,0.553509,0:00:46.318166
22:30:00,99.379946,0.266659,0.193897,0.440338,0:01:00.999237
23:00:00,126.896748,0.194902,0.088080,0.296783,0:00:47.613922
23:30:00,108.376600,0.168345,0.066425,0.257731,0:01:24.543566
24:00:00,213.572888,0.285933,0.293243,0.541519,0:01:10.307470
02:30:00,85.221945,0.189262,0.162522,0.403140,0:01:12.456116
03:00:00,105.256500,0.186218,0.146348,0.382555,0:01:05.844888
03:30:00,82.243703,0.225236,0.196324,0.443085,0:01:16.801376
04:00:00,65.554343,0.190315,0.166971,0.408621,0:01:13.677734
04:30:00,56.661909,0.180462,0.148870,0.385837,0:01:13.778029
